-65.000,-34.000,-11.000,0.827,0.895,0.123
-65.000,-23.000,-23.000,0.826,1.898,0.045
-62.000,-35.000,-10.000,1.436,1.137,0.426
-65.000,-16.000,-29.000,1.061,1.802,0.030
-59.000,-39.000,-6.000,1.310,0.730,0.380
-65.000,-11.000,-32.000,0.950,1.749,0.349
-57.000,-38.000,-5.000,1.099,0.689,0.137
-65.000,-6.000,-34.000,0.784,1.609,0.381
-56.000,-33.000,-10.000,1.492,0.636,0.413
-65.000,-2.000,-35.000,0.776,1.618,0.078
-55.000,-32.000,-10.000,1.188,0.536,0.407
-65.000,0.000,-34.000,0.750,0.731,0.383
-54.000,-33.000,-5.000,1.290,0.554,0.131
-64.000,0.000,-30.000,1.308,0.777,0.393
-55.000,-25.000,-10.000,1.251,0.410,0.423
-64.000,0.000,-26.000,1.372,0.741,0.401
-62.000,-3.000,-24.000,1.093,0.434,0.394
-56.000,-21.000,-9.000,1.368,0.685,0.155
-64.000,0.000,-19.000,1.372,0.745,0.091
-58.000,-18.000,-4.000,1.437,0.325,0.348
-65.000,-5.000,-4.000,0.811,1.006,0.344
-65.000,-33.000,-23.000,1.078,0.544,0.042
-63.000,-41.000,-15.000,1.139,0.964,0.118
-62.000,-47.000,-7.000,1.132,0.566,0.123
-65.000,-24.000,-33.000,1.130,1.610,0.055
-61.000,-36.000,-22.000,1.394,0.827,0.428
-59.000,-45.000,-13.000,1.209,0.578,0.132
-65.000,-16.000,-40.000,0.974,1.673,0.361
-60.000,-30.000,-29.000,1.052,0.530,0.066
-55.000,-50.000,-6.000,1.282,0.693,0.372
-65.000,-10.000,-45.000,0.833,1.714,0.114
-61.000,-19.000,-38.000,1.337,0.255,0.381
-52.000,-52.000,-5.000,1.449,0.672,0.112
-65.000,-4.000,-49.000,0.809,1.543,0.107
-50.000,-48.000,-11.000,1.614,0.721,0.170
-65.000,0.000,-51.000,0.823,0.853,0.115
-48.000,-46.000,-12.000,1.368,0.567,0.359
-63.000,0.000,-50.000,1.146,0.851,0.343
-46.000,-47.000,-10.000,1.373,0.676,0.401
-61.000,0.000,-49.000,1.356,0.852,0.141
-45.000,-43.000,-12.000,1.478,0.602,0.368
-59.000,0.000,-47.000,0.841,0.824,0.125
-44.000,-42.000,-12.000,1.505,0.917,0.365
-58.000,0.000,-45.000,1.193,0.900,0.149
-43.000,-43.000,-7.000,1.301,0.755,0.123
-57.000,0.000,-42.000,0.897,0.832,0.402
-43.000,-41.000,-5.000,1.295,1.057,0.131
-56.000,0.000,-37.000,0.794,0.911,0.151
-46.000,-26.000,-18.000,1.206,0.556,0.438
-44.000,-35.000,-7.000,1.032,1.127,0.148
-56.000,0.000,-32.000,0.845,0.828,0.363
-46.000,-27.000,-10.000,1.220,0.573,0.419
-56.000,-1.000,-25.000,0.834,1.349,0.064
-49.000,-20.000,-9.000,1.442,0.532,0.147
-59.000,0.000,-16.000,0.925,0.811,0.391
-54.000,-12.000,-5.000,1.138,0.330,0.126
-65.000,-41.000,-22.000,0.812,1.033,0.396
-63.000,-50.000,-12.000,1.047,0.789,0.336
